TDate,Nat,Name,InOut,ClubFrom,DivFrom,ClubTo,DivTo,Amount,ClubFromID,ClubToID,Year_F,date,month,player_id
28-Jun,France,J.-P. Mateta,in,Lyon,France,Mainz,Germany,10,68,92,2018,28,6,328096
05-Aug,Espagne,Aarón Martín,in,Espanyol,Spain,Mainz,Germany,10,27,92,2018,5,8,323546
01-Jul,France,Nordi Mukiele,in,Montpellier,France,RB Leipzig,Germany,16,71,94,2018,1,7,299077
01-Jul,Sénégal,Salif Sané,in,Hannover 96,Germany,Schalke 04,Germany,8,89,95,2018,1,7,94912
01-Jul,Allemagne,Suat Serdar,in,Mainz,Germany,Schalke 04,Germany,11,92,95,2018,1,7,296119
02-Jul,Espagne,Omar Mascarell,in,Real Madrid,Spain,Schalke 04,Germany,10,37,95,2018,2,7,NA
17-Aug,Maroc,Hamza Mendyl,in,Lille,France,Schalke 04,Germany,6,67,95,2018,17,8,322494
28-Aug,Allemagne,Sebastian Rudy,in,Bayern Munich,Germany,Schalke 04,Germany,16,83,95,2018,28,8,38649
29-Jun,Allemagne,Gonzalo Castro,in,Dortmund,Germany,Stuttgart,Germany,5,84,96,2018,29,6,13423
01-Jul,Espagne,Pablo Maffeo,in,Manchester City,England,Stuttgart,Germany,10,13,96,2018,1,7,294848
01-Jul,Autriche,Martin Harnik,in,Hannover 96,Germany,Werder Bremen,Germany,2,89,97,2018,1,7,19787
27-Jul,Pays-Bas,Davy Klaassen,in,Everton,England,Werder Bremen,Germany,13.5,8,97,2018,27,7,108860
31-Aug,Turquie,Nuri Sahin,in,Dortmund,Germany,Werder Bremen,Germany,1,84,97,2018,31,8,14176
29-Jun,Allemagne,Daniel Ginczek,in,Stuttgart,Germany,Wolfsburg,Germany,10,96,98,2018,29,6,80388
06-Aug,France,J.  Roussillon,in,Montpellier,France,Wolfsburg,Germany,8,71,98,2018,6,8,97145
01-Jun,RD Congo,Benik Afobe,out,Bournemouth,England,Wolverhampton,England,14.5,2,20,2018,1,6,NA
24-Jul,Espagne,Joni,out,Celta Vigo,Spain,Atlético Madrid,Spain,6.7,25,23,2018,24,7,NA
01-Jul,Italie,Mattia Caldara,out,Atalanta,Italy,Juventus,Italy,15,43,52,2018,1,7,NA
01-Jul,Italie,R.  Saponara,out,Empoli,Italy,Fiorentina,Italy,10.5,47,48,2018,1,7,NA
01-Jul,Colombie,Duvan Zapata,out,Napoli,Italy,Sampdoria,Italy,20,54,56,2018,1,7,NA
01-Jul,Espagne,Omar Mascarell,out,E Francfort,Germany,Real Madrid,Spain,4,87,37,2018,1,7,NA
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
