"TDate","Nat","Name","InOut","ClubFrom","DivFrom","ClubTo","DivTo","Amount","ClubFromID","ClubToID","Year_F","date","month","player_id","name","teamName","age","positionText","apps","subOn","minsPlayed","manOfTheMatch","yellowCard","redCard","rating","goal","assistTotal","shotsPerGame","keyPassPerGame","dribbleWonPerGame","foulGivenPerGame","offsideGivenPerGame","dispossessedPerGame","totalPassesPerGame","passSuccess","tacklePerGame","interceptionPerGame","foulsPerGame","clearancePerGame","outfielderBlockPerGame","goalOwn"
"01-Jul","France","Vincent Laurini","in","Empoli","Italy","Fiorentina","Italy",2,47,48,2018,1,7,109062,"Vincent Laurini","Fiorentina",30,"Defender",15,5,921,0,4,0,6.524,0,0,0.133333333333333,0.466666666666667,0.733333333333333,1.4,0,0.6,29.6666666666667,79.7752808988764,0.866666666666667,0.866666666666667,1.06666666666667,1.8,0.333333333333333,0
"02-Jul","France","Alban Lafont","in","Toulouse FC","France","Fiorentina","Italy",7,80,48,2018,2,7,300590,"Alban Lafont","Fiorentina",20,"Goalkeeper",34,0,3016,1,2,0,6.63823529411765,0,0,0,0.0882352941176471,0.0588235294117647,0.235294117647059,0,0,24.9411764705882,62.6179245283019,0,0.0294117647058824,0,0.911764705882353,0,1
"17-Aug","Italie","Marco Capuano","in","Cagliari","Italy","Frosinone","Italy",1,45,49,2018,17,8,92754,"Marco Capuano","Frosinone",28,"Defender",27,0,2313,1,4,1,6.58333333333333,0,0,0.259259259259259,0.222222222222222,0.0740740740740741,0.407407407407407,0,0.222222222222222,43.1481481481481,83.6051502145923,1.96296296296296,1.25925925925926,0.740740740740741,3.66666666666667,1.14814814814815,0
"09-Jul","Italie","Luca Mazzitelli","in","Sassuolo","Italy","Genoa","Italy",8,57,50,2018,9,7,141269,"Luca Mazzitelli","Genoa",23,"Midfielder",10,7,320,0,3,0,6.181,0,0,0.5,0.3,0,0.5,0,0.3,20.6,75.7281553398058,0.5,0.6,1.3,0.6,0.1,0
"08-Aug","Italie","Andrea Favilli","in","Juventus","Italy","Genoa","Italy",7,52,50,2018,8,8,297001,"Andrea Favilli","Genoa",22,"Forward",6,6,166,0,0,0,6.38166666666667,0,2,0.833333333333333,0.5,0.333333333333333,0.333333333333333,0.166666666666667,0.166666666666667,7.33333333333333,75,0.166666666666667,0,1.16666666666667,0.166666666666667,0,0
"17-Aug","Italie","G.  Lapadula","in","AC Milan","Italy","Genoa","Italy",11,41,50,2018,17,8,95872,"Gianluca Lapadula","Genoa",29,"Forward",8,4,403,0,1,0,6.365,1,0,3,0.5,0.5,1.25,1.25,0.875,9.25,66.2162162162162,0.25,0.125,2,0.125,0,0
"26-Jun","Belgique","R.  Nainggolan","in","AS Roma","Italy","Inter Milan","Italy",38,42,51,2018,26,6,52380,"Radja Nainggolan","Inter",31,"Midfielder",29,7,1972,1,3,0,6.89034482758621,6,3,2.44827586206897,1.41379310344828,0.931034482758621,0.896551724137931,0.0689655172413793,1.55172413793103,33.1379310344828,84.2872008324662,1.20689655172414,0.310344827586207,1.06896551724138,0.172413793103448,0.0689655172413793,0
"01-Jul","Italie","Matteo Politano","in","Sassuolo","Italy","Inter Milan","Italy",20,57,51,2018,1,7,122683,"Matteo Politano","Inter",26,"Midfielder",36,5,2568,0,4,1,6.92277777777778,5,6,2.19444444444444,1.80555555555556,1.30555555555556,1.22222222222222,0.0555555555555556,0.916666666666667,33.75,80.082304526749,0.5,0.388888888888889,0.361111111111111,0.222222222222222,0,0
"08-Jun","Italie","Mattia Perin","in","Genoa","Italy","Juventus","Italy",12,50,52,2018,8,6,78880,"Mattia Perin","Juventus",26,"Goalkeeper",9,0,810,0,1,0,6.55444444444444,0,0,0,0,0.111111111111111,0.222222222222222,0,0,21.1111111111111,75.2631578947368,0,0,0,0.555555555555556,0,0
"27-Jun","Portugal","Joao Cancelo","in","Inter Milan","Italy","Juventus","Italy",40.4,51,52,2018,27,6,128967,"João Cancelo","Juventus",25,"Defender",25,3,1967,2,6,0,7.1992,1,3,1,1.4,2.44,0.96,0,0.88,50.28,86.2370723945903,1.72,0.6,1.28,1.28,0.16,0
"01-Jul","Brésil","Douglas Costa","in","Bayern Munich","Germany","Juventus","Italy",46,83,52,2018,1,7,68889,"Douglas Costa","Juventus",29,"Midfielder",17,10,620,1,2,1,6.62588235294118,1,0,1.17647058823529,1.23529411764706,1.76470588235294,0.470588235294118,0.0588235294117647,0.764705882352941,17.4705882352941,86.1952861952862,0.588235294117647,0.235294117647059,0.764705882352941,0.0588235294117647,0,0
"10-Jul","Portugal","C.  Ronaldo","in","Real Madrid","Spain","Juventus","Italy",117,37,52,2018,10,7,5583,"Cristiano Ronaldo","Juventus",34,"Forward",31,1,2689,10,3,0,7.67741935483871,21,8,5.70967741935484,1.54838709677419,1.45161290322581,1.61290322580645,0.935483870967742,1.25806451612903,33.258064516129,85.0630455868089,0.32258064516129,0.193548387096774,0.612903225806452,0.967741935483871,0.0645161290322581,0
"22-Jun","Danemark","Riza Durmisi","in","Real Betis","Spain","Lazio","Italy",6.5,24,53,2018,22,6,283282,"Riza Durmisi","Lazio",25,"Defender",10,8,319,0,4,0,6.17,0,1,0.4,1,0.1,0.4,0,0,12.5,77.6,0.4,0.1,0.7,0.6,0,0
"11-Jul","Italie","F.  Acerbi","in","Sassuolo","Italy","Lazio","Italy",10,57,53,2018,11,7,54968,"Francesco Acerbi","Lazio",31,"Defender",37,0,3310,2,3,1,6.94837837837838,3,1,0.486486486486487,0.27027027027027,0.243243243243243,1.13513513513514,0.0810810810810811,0.216216216216216,47.972972972973,87.0422535211268,1.08108108108108,1.64864864864865,0.648648648648649,4.40540540540541,0.864864864864865,0
"31-Jul","Argentine","Joaquin Correa","in","Sevilla FC","Spain","Lazio","Italy",15,29,53,2018,31,7,125378,"Joaquín Correa","Lazio",25,"Midfielder",34,16,1919,1,5,0,7.02941176470588,5,6,2.05882352941176,1.67647058823529,2.05882352941176,1.20588235294118,0.235294117647059,0.764705882352941,25.1176470588235,86.0655737704918,0.617647058823529,0.0588235294117647,0.823529411764706,0.205882352941176,0.0882352941176471,0
"01-Jul","Italie","Simone Verdi","in","Bologna","Italy","Napoli","Italy",25,44,54,2018,1,7,82144,"Simone Verdi","Napoli",27,"Forward",22,13,701,1,0,0,6.48181818181818,3,3,0.909090909090909,0.590909090909091,0.545454545454545,0.363636363636364,0.0454545454545455,0.727272727272727,15,85.4545454545455,0.727272727272727,0.181818181818182,0.590909090909091,0.0909090909090909,0,0
"05-Jul","Grèce","O.  Karnezis","in","Udinese","Italy","Napoli","Italy",2.5,60,54,2018,5,7,11624,"Orestis Karnezis","Napoli",34,"Goalkeeper",9,0,810,0,0,0,6.79444444444444,0,0,0,0,0,0.111111111111111,0,0,23,63.768115942029,0,0,0,0.555555555555556,0,0
"05-Jul","Italie","Alex Meret","in","SPAL","Italy","Napoli","Italy",27,58,54,2018,5,7,241022,"Alex Meret","Napoli",22,"Goalkeeper",14,1,1151,0,0,1,6.77214285714286,0,0,0,0,0,0.285714285714286,0,0,22.0714285714286,73.7864077669903,0,0,0.142857142857143,0.714285714285714,0,0
"05-Jul","Espagne","Fabián Ruiz","in","Real Betis","Spain","Napoli","Italy",30,24,54,2018,5,7,294193,"Fabián Ruiz","Napoli",23,"Midfielder",27,7,1991,2,2,1,7.25407407407408,5,4,1.88888888888889,2.2962962962963,1.33333333333333,0.814814814814815,0.0740740740740741,1.07407407407407,66.6296296296296,89.7720956086715,2,0.777777777777778,0.407407407407407,0.888888888888889,0.148148148148148,0
"08-Aug","France","Kévin Malcuit","in","Lille","France","Napoli","Italy",12,67,54,2018,8,8,86512,"Kevin Malcuit","Napoli",28,"Defender",24,4,1806,1,3,0,7.10791666666667,0,2,0.5,0.916666666666667,1.41666666666667,0.916666666666667,0.125,0.833333333333333,41.2083333333333,85.9453993933266,1.83333333333333,1.875,1,2.33333333333333,0.166666666666667,0
"17-Aug","Colombie","David Ospina","in","Arsenal","England","Napoli","Italy",3.5,1,54,2018,17,8,36745,"David Ospina","Napoli",31,"Goalkeeper",17,1,1457,1,0,0,6.56235294117647,0,0,0,0,0.0588235294117647,0.294117647058824,0,0,23.0588235294118,73.9795918367347,0.0588235294117647,0,0,0.470588235294118,0,0
"07-Aug","France","J.  Biabiany","in","Inter Milan","Italy","Parma","Italy",1.5,51,55,2018,7,8,41237,"Jonathan Biabiany","Parma Calcio 1913",31,"Forward",18,6,1069,0,4,0,6.44444444444444,0,0,0.222222222222222,0.5,1.11111111111111,0.888888888888889,0.166666666666667,1.16666666666667,16.2222222222222,72.9452054794521,1.66666666666667,0.611111111111111,1.16666666666667,0.555555555555556,0.0555555555555556,0
"14-Jun","Italie","Alex Ferrari","in","Bologna","Italy","Sampdoria","Italy",4.5,44,56,2018,14,6,130043,"Alex Ferrari","Sampdoria",25,"Defender",6,0,540,1,2,0,6.66833333333333,0,0,0,0,0,0.666666666666667,0,0.166666666666667,52.1666666666667,88.1789137380192,1.66666666666667,1.5,0.5,4.16666666666667,0.666666666666667,0
"06-Jul","République tchèque","Jakub Jankto","in","Udinese","Italy","Sampdoria","Italy",15,60,56,2018,6,7,254262,"Jakub Jankto","Sampdoria",23,"Midfielder",25,18,949,0,2,0,6.1476,0,0,0.92,0.24,0.04,0.24,0,0.2,20.2,82.7722772277228,0.28,0.36,0.28,0.52,0.08,0
"17-Jul","Italie","Emil Audero","in","Juventus","Italy","Sampdoria","Italy",20,52,56,2018,17,7,254692,"Emil Audero","Sampdoria",22,"Goalkeeper",36,0,3240,0,4,0,6.62666666666667,0,0,0,0.0555555555555556,0,0.138888888888889,0,0,27.1111111111111,70.9016393442623,0.111111111111111,0.0277777777777778,0.0555555555555556,0.916666666666667,0,0
"24-Jul","France","G.  Defrel","in","AS Roma","Italy","Sampdoria","Italy",20,42,56,2018,24,7,101767,"Gregoire Defrel","Sampdoria",28,"Forward",36,10,2343,3,2,0,6.82055555555556,11,3,1.30555555555556,0.694444444444444,0.777777777777778,0.916666666666667,0.222222222222222,1.41666666666667,21.5,84.3669250645995,1.11111111111111,0.0833333333333333,1.05555555555556,0.194444444444444,0,0
"04-Jul","Italie","Di Francesco","in","Bologna","Italy","Sassuolo","Italy",10,44,57,2018,4,7,128605,"Federico Di Francesco","Sassuolo",25,"Forward",19,5,1081,1,2,0,6.46105263157895,2,2,1.31578947368421,0.578947368421053,0.684210526315789,0.947368421052632,0.368421052631579,1,18.3157894736842,85.3448275862069,0.526315789473684,0.263157894736842,1.31578947368421,0.105263157894737,0.0526315789473684,0
"13-Aug","Italie","M.  Locatelli","in","AC Milan","Italy","Sassuolo","Italy",10,41,57,2018,13,8,273539,"Manuel Locatelli","Sassuolo",21,"Midfielder",29,8,1851,1,7,0,6.76793103448276,2,4,1.06896551724138,1.41379310344828,0.724137931034483,1,0,0.862068965517241,40.7586206896552,87.3096446700508,1.51724137931034,0.931034482758621,1.20689655172414,1,0.103448275862069,0
"16-Aug","Brésil","Marlon","in","FC Barcelona","Spain","Sassuolo","Italy",6,28,57,2018,16,8,131382,"Marlon Santos","Sassuolo",24,"Defender",18,0,1511,1,3,1,6.64055555555555,1,0,0.333333333333333,0.166666666666667,0.222222222222222,0.444444444444444,0,0.111111111111111,57.7222222222222,93.5514918190568,1.61111111111111,1.38888888888889,1.05555555555556,2,0.666666666666667,0
